,Rank,Player,Pos,Team,Bye,Yds,TD,Int,Yds,TD,Rec,Yds,TD,FPts,Value,Team
0,1,Christian McCaffrey,RB1,CAR,13,8,0.1,0,1120,11.3,85,647,4,353.9,244.6,0
1,2,Dalvin Cook,RB2,MIN,7,0,0,0,1386,13.4,50,426,0.8,316.3,207,0
2,3,Alvin Kamara,RB3,NO,6,13,0.1,0,914,9.5,79,689,3.1,315.4,206.1,0
3,4,Stefon Diggs,WR1,BUF,7,15,0.3,0,7,0.1,110,1406,9.5,310.4,169.7,0
4,5,Davante Adams,WR2,GB,13,0,0,0,6,0,106,1311,11.4,306.2,165.5,0
5,6,Derrick Henry,RB4,TEN,13,4,0.1,0,1497,13.6,21,157,0.6,272.6,163.3,0
6,6,Tyreek Hill,WR3,KC,12,0,0,0,86,1,93,1251,11.9,304,163.3,0
7,8,Aaron Jones,RB5,GB,13,0,0,0,973,7.3,60,472,3,266.6,157.3,0
8,9,Travis Kelce,TE1,KC,12,11,0.4,0,4,0.3,105,1261,9,289.2,157,0
9,10,Calvin Ridley,WR4,ATL,6,0,0,0,10,0.1,104,1365,8.9,295.7,155,0
10,11,Saquon Barkley,RB6,NYG,10,0,0,0,1065,9.1,51,380,1.5,258.6,149.3,0
11,12,Ezekiel Elliott,RB7,DAL,7,0,0,0,985,8.2,55,394,2.1,254.5,145.2,0
12,13,Nick Chubb,RB8,CLE,13,0,0,0,1295,11.5,28,201,1.1,252.8,143.5,0
13,14,DK Metcalf,WR5,SEA,9,0,0,0,12,0,97,1297,9.3,284,143.3,0
14,15,Joe Mixon,RB9,CIN,10,0,0,0,1067,8.1,47,351,2.4,252,142.7,0
15,16,DeAndre Hopkins,WR6,ARI,12,4,0.1,0,9,0,106,1293,7.5,282.2,141.5,0
16,17,Jonathan Taylor,RB10,IND,14,0,0,0,1239,10.6,32,247,0.9,249.4,140.1,0
17,18,Austin Ekeler,RB11,LAC,7,0,0,0,681,4.5,72,573,3.2,244,134.7,0
18,19,Keenan Allen,WR7,LAC,7,0,0,0,11,0,106,1217,7.6,274,133.3,0
19,20,Justin Jefferson,WR8,MIN,7,0,0,0,37,0.4,93,1291,7.6,273.4,132.7,0
20,21,Antonio Gibson,RB12,WAS,9,0,0,0,958,8.1,45,364,2,237.9,128.6,0
21,22,Darren Waller,TE2,LV,8,0,0,0,6,0,96,1186,7,257.3,128.3,0
22,23,James Robinson,RB13,JAC,7,0,0,0,987,7.6,46,354,1.7,235.7,126.4,0
23,24,A.J. Brown,WR9,TEN,13,13,0.1,0,32,0.5,88,1195,8.4,264.8,124.1,0
24,25,Robert Woods,WR10,LAR,11,0,0,0,85,0.8,97,1169,6.1,263.5,122.8,0
25,26,Cooper Kupp,WR11,LAR,11,0,0,0,7,0.1,92,1125,8.4,256.6,115.9,0
26,27,CeeDee Lamb,WR12,DAL,7,0,0,0,43,0.6,85,1192,6.9,253.9,113.2,0
27,28,Patrick Mahomes,QB1,KC,12,5077,39.5,10.1,283,2.6,0,0,0,384.8,111.8,0
28,29,Najee Harris,RB14,PIT,7,17,0.3,0,1037,8.2,33,240,1.3,219.9,110.6,0
29,30,D'Andre Swift,RB15,DET,9,0,0,0,911,5.8,46,350,1.9,218.2,108.9,0
30,31,Josh Allen,QB2,BUF,7,4701,32.1,12.1,459,6.7,0,5,0.2,380.4,108.2,0
31,32,Clyde Edwards-Helaire,RB16,KC,12,0,0,0,826,5.9,46,360,2.7,216.4,107.1,0
32,33,Amari Cooper,WR13,DAL,7,15,0.5,0,9,0.1,85,1132,7.2,245,104.3,0
33,34,Miles Sanders,RB17,PHI,14,0,0,0,916,7.5,33,285,1.2,205,95.7,0
